Titulo;Data de inicio;Data de fim;Data publicacao;Local
Despacho com Secretário Executivo de Projetos Estratégicos (SEPE/SGM) – Alexis Vargas;2022/11/23 11:30:00 GMT-3;2022/11/23 11:30:00 GMT-3;2022-11-22T21:11:56-03:00;Local: Gabinete do Prefeito
Despacho com Secretário da Casa Civil – Fabricio Cobra;2022/11/23 10:30:00 GMT-3;2022/11/23 10:30:00 GMT-3;2022-11-22T21:09:47-03:00;Local: Gabinete do Prefeito
6º Seminário Internacional de Líderes, com Presidente da Fundação Padre Anchieta – José Roberto Maluf, Diretora da Líderes TV – Cecilia Luchia-Puig, Gerente Geral do Hotel Pullman São Paulo – Jarves Rockenbach, Cônsul Geral da Argentina em São Paulo – Luis María Kreckle, Secretária de Relações Internacionais – Marta Suplicy e Secretário de Inovação e Tecnologia – Juan Quirós;2022/11/23 09:00:00 GMT-3;2022/11/23 09:00:00 GMT-3;2022-11-22T21:07:37-03:00;Local: Hotel Pullman (Sala São Paulo – 1º andar) – (Rua Joinville, 515 – Ibirapuera)
Despacho com Chefe de Gabinete – Vitor Sampaio;2022/11/22 18:30:00 GMT-3;2022/11/22 18:30:00 GMT-3;2022-11-21T20:13:33-03:00;Local: Gabinete do Prefeito
Reunião com Diretor de Departamento Geral de Obras (SIURB) – Reinaldo Amad Meira e Diretora de SPObras – Adriana Boggio;2022/11/22 18:00:00 GMT-3;2022/11/22 18:00:00 GMT-3;2022-11-21T20:12:17-03:00;Local: Gabinete do prefeito
Despacho com Secretário de Comunicação – Marcus Vinicius Sinval ;2022/11/22 16:30:00 GMT-3;2022/11/22 16:30:00 GMT-3;2022-11-21T20:10:49-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Habitação - João Farias e Secretário de Segurança Urbana em exercício - Júnior Fagotti;2022/11/22 15:00:00 GMT-3;2022/11/22 15:00:00 GMT-3;2022-11-21T20:09:00-03:00;Local: Gabinete do Prefeito
Despacho com Secretários da Casa Civil – Fabricio Cobra;2022/11/22 11:30:00 GMT-3;2022/11/22 11:30:00 GMT-3;2022-11-21T20:07:00-03:00;Local: Gabinete do Prefeito
– Reunião com Presidente do Tribunal de Contas do Município (TCM) – João Antônio;2022/11/22 10:30:00 GMT-3;2022/11/22 10:30:00 GMT-3;2022-11-21T20:05:46-03:00;Local: Gabinete do Prefeito
Reunião com Presidente do Grupo Pão de Açúcar – Marcelo Pimentel, Diretora Real State e Malls do Grupo Pão Açúcar – Natália Innocenzi, Diretora de Licenciamento e Meio Ambiente do Grupo Pão de Açúcar – Frederica Stanke, Diretor de Relações Corporativas – Paulo Pompilio, Secretários de Governo – Rubens Rizek, Fazenda – Guilherme Bueno de Camargo, Casa Civil – Fabricio Cobra, Desenvolvimento Econômico e Trabalho – Aline Cardoso, Verde e Meio Ambiente -  Eduardo de castro, Urbanismo e Licenciamento em exercício – José Armênio, Chefe de Gabinete do Prefeito – Vitor Sampaio, Diretor-Presidente da SP Negócios – Aloysio Nunes e Diretor de Investimentos da SP Negócios – Michael Cerqueira;2022/11/22 09:00:00 GMT-3;2022/11/22 09:00:00 GMT-3;2022-11-21T20:04:00-03:00;Local: Gabinete do Prefeito
Troféu Raça Negra 2022, com Reitor da Universidade Zumbi dos Palmares e Presidente do Conselho de Fundadores da Sociedade Afro Brasileira de Desenvolvimento Sócio Cultural – José Vicente, Governador Rodrigo Garcia, Secretárias de Cultura – Aline Torres, Direitos Humanos e Cidadania – Soninha Francine e Relações Internacionais – Marta Suplicy  ;2022/11/21 20:00:00 GMT-3;2022/11/21 20:00:00 GMT-3;2022-11-20T17:20:39-03:00;Local: Sala São Paulo (Sala de Concertos) – (Praça Julio Prestes, 16 – Luz)
8º Edição do Prêmio Gente Rara, com Presidente da Casa Hunter – Antoine Daher, Secretário da Saúde – Luiz Carlos Zamarco e Secretária de Pessoa com Deficiência – Silvia Grecco  ;2022/11/21 18:45:00 GMT-3;2022/11/21 18:45:00 GMT-3;2022-11-20T17:18:00-03:00;Local: Hotel Renaissance (Alameda Santos, 2233 – Jd. Paulista)   
Despacho com Procuradora Geral do Munícipio – Marina Magro  ;2022/11/21 16:30:00 GMT-3;2022/11/21 16:30:00 GMT-3;2022-11-20T17:16:22-03:00;Local: Gabinete do Prefeito
Reunião com Presidente da FEBRACIS, Conferencista e Palestrante Internacional – Paulo Vieira, CEO do Grupo FEBRACIS – Lilian Carmo, Diretor de Marketing da FEBRACIS – Rafael Galdino, Fundador do “O Eleito” – Daniel Marin, Diretor da SP Regula – Bruno Gabriel , Secretária Adjunta de Educação - Malde Villas Bôas e Secretário Adjunto de Assistência e Desenvolvimento Social, Décio Fernando Moreira de Matos  ;2022/11/21 15:00:00 GMT-3;2022/11/21 15:00:00 GMT-3;2022-11-20T17:14:00-03:00;Local: Gabinete do Prefeito
Reunião com Prefeito Vargem Grande Paulista – Josue Ramos, seu filho Danilo Ramos, Secretários de Governo – Rubens Rizek, Fazenda – Guilherme Bueno de Camargo, Comunicação – Marcus Vinicius Sinval, Casa Civil – Fabricio Cobra e Chefe de Gabinete do Prefeito – Vitor Sampaio  ;2022/11/21 14:00:00 GMT-3;2022/11/21 14:00:00 GMT-3;2022-11-20T17:12:48-03:00;Local: Gabinete do Prefeito
Implementação do Sistema de Monitoramento e Reconhecimento Facial na Linha 3, com Presidente do Metrô de São Paulo – Silvani Pereira, Governador Rodrigo Garcia, Secretário Estadual de Transporte Metropolitano – Marco Antonio Assalve, Secretária Municipal de Direitos Humanos e Cidadania – Soninha Francine, Secretário Municipal de Mobilidade e Trânsito – Ricardo Teixeira e Secretário Municipal de Segurança Urbana em exercício – Júnior Fagotti  ;2022/11/21 10:00:00 GMT-3;2022/11/21 10:00:00 GMT-3;2022-11-20T17:10:58-03:00;Local: Centro de Controle Operacional (Rua Vergueiro, 1200)
Distribuição de Máscaras e Ação de Vacinação, com Secretário da Saúde – Luiz Carlos Zamarco, Secretário Adjunto da Saúde – Mauricio Serpa, Secretária Executiva de Atenção Básica, Especialidades Vigilância em Saúde em exercício – Carla Britto, Subprefeita de Santo Amaro – Patricia Penna Saraiva, Coordenador de Vigilância em Saúde – Luiz Vieira Caldeira, Supervisora Técnica de Saúde Santo Amaro/Cidade Ademar em exercício – Silvana Bertoncini, Assessor de Gabinete da Coordenadoria Regional de Saúde Sul – Drausio Soares Filho, Diretor-Presidente da SPTrans – Levi dos Santos Oliveira, Diretor de Operações da SPTrans – Wagner Chagas, Gerente da SPTrans – Manoel Santos, Gerente de Operações da São Paulo Sul Concessionária do Terminal Santo Amaro – Felipe Brito e Diretora de Implantação do INTS – Luciana Torres Peixoto  ;2022/11/21 08:40:00 GMT-3;2022/11/21 08:40:00 GMT-3;2022-11-20T17:08:47-03:00;Local: Terminal Santo Amaro (Av. Padre José Maria, 817 – Santo Amaro – Plataforma B – Piso superior)
Sem compromissos oficiais;2022/11/20 00:00:00 GMT-3;2022/11/20 00:00:00 GMT-3;2022-11-19T20:50:18-03:00;Prefeitura
Final Nacional Taça das Favelas 2022, com Secretária de Cultura – Aline Torres, Secretário de Esportes e Lazer – Cacá Vianna e Prefeito de Barueri - Rubens Furlan ;2022/11/19 16:30:00 GMT-3;2022/11/19 16:30:00 GMT-3;2022-11-18T22:54:00-03:00;Local: Arena Barueri (Av. Pref. João Vila-Lobos Quero, 1001 – Jd. Belval – Barueri)
Segunda Edição do Inclui Sampa nos Bairros, com Secretária de Pessoa com Deficiência – Silvia Grecco, Secretário de Educação – Fernando Padula, Secretário de Inovação e Tecnologia – Juan Quirós, Secretário Adjunto do Verde e Meio Ambiente – Carlos Vasconcellos, Subprefeito de Aricanduva/Vila Formosa/Carrão – Rafael Meira e Subprefeita de Itaquera – Silvia Regina;2022/11/19 10:30:00 GMT-3;2022/11/19 10:30:00 GMT-3;2022-11-18T22:48:38-03:00;Local: CEU Aricanduva (Av. Olga Fadel Abarca, s/n – Jd. Santa Terezinha) – (Sugestão DE Waze: CEU Aricanduva)
Entrega Simultânea de 19 Praças Revitalizadas, com Presidente da Academia Paulista de Letras – José Renato Natalini, Secretário de Subprefeituras – Alexandre Modonezi, Secretário de Casa Civil – Fabricio Cobra e Subprefeito da Sé – Marcelo Salles;2022/11/19 08:45:00 GMT-3;2022/11/19 08:45:00 GMT-3;2022-11-18T22:44:28-03:00;Local: Largo Do Arouche, 346 – República
Jantar em homenagem a Graça Machel, com Primeira Dama Regina Nunes, Secretária de Relações Internacionais – Marta Suplicy e Cultura – Aline Torres;2022/11/18 19:55:00 GMT-3;2022/11/18 19:55:00 GMT-3;2022-11-17T21:18:10-03:00;Prefeitura
Despacho com Secretário de Mobilidade e Trânsito – Ricardo Teixeira;2022/11/18 17:15:00 GMT-3;2022/11/18 17:15:00 GMT-3;2022-11-17T21:14:26-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Comunicação – Marcus Vinicius Sinval;2022/11/18 16:30:00 GMT-3;2022/11/18 16:30:00 GMT-3;2022-11-17T21:12:38-03:00;Local: Gabinete do Prefeito
Reunião com Deputado Estadual Bruno Ganem e Chefe de Gabinete – Nei Carlos;2022/11/18 15:00:00 GMT-3;2022/11/18 15:00:00 GMT-3;2022-11-17T21:10:41-03:00;Local: Gabinete do Prefeito
Reunião com Proprietário do Grupo Thathi de Comunicação – Chaim Zaher e Chefe de Gabinete do Prefeito – Vitor Sampaio;2022/11/18 13:00:00 GMT-3;2022/11/18 13:00:00 GMT-3;2022-11-17T21:08:54-03:00;Local: Gabinete do Prefeito
Inauguração do CAPS Álcool e Drogas III Paraisópolis, com Diretor Superintendente do Instituto Israelita de Responsabilidade Social Albert Einstein – Guilherme Schettino, Diretora de Atenção Primária e Rede Assistencial do Instituto Israelita de Responsabilidade Social Albert Einstein – Luciana Morais Borges, Gerente Rede de Atenção à Saúde e Prática Assistencial do Instituto Israelita de Responsabilidade Social Albert Einstein – Danielle Palacio, Secretário da Saúde – Luiz Carlos Zamarco, Secretário de Assistência e Desenvolvimento Social – Carlos Bezerra Jr., Secretário Adjunto da Saúde – Maurício Serpa, Secretária Executiva da Secretária Executiva de Atenção Hospitalar em exercício – Carla Britto, Subprefeito do Campo Limpo – Alan Amaral, Diretora da Divisão de Saúde Mental da Atenção Básica da SMS – Claudia Ruggiero Longhi, Coordenadora Regional de Saúde Sul em Exercício – Marilia Namo de Oliveira, Supervisor Técnico de Saúde Campo Limpo – Rogério Mattos Hochheim, Gerente do CAPS AD III Paraisópolis – Tatiana Helena Silva, Conselheiro Gestor da Supervisão Técnica de Saúde Campo Limpo – José Tarcísio de Oliveira e Conselheira Gestora da Supervisão Técnica de Saúde Campo Limpo – Maria de Lourdes Martins;2022/11/18 10:10:00 GMT-3;2022/11/18 10:10:00 GMT-3;2022-11-17T21:04:56-03:00;Local: Av. Doutor Flávio Américo Maurano, 331 – Fazenda Morumbi
Visita a equipamento público;2022/11/18 09:00:00 GMT-3;2022/11/18 09:00:00 GMT-3;2022-11-17T21:02:51-03:00;Prefeitura
Abertura da II Expo Internacional da Consciência Negra, com Zezé Motta, Gerente do Projeto Expo Internacional – Elaine Gomes, Curador da 2ª Expo Internacional – Tom Farias, Secretários de Relações Internacionais – Marta Suplicy, Direitos Humano e Cidadania – Soninha Francine, Educação – Fernando Padula, Esportes e Lazer – Cacá Vianna, Cultura – Aline Torres, Desenvolvimento Econômico e Trabalho em exercício – Armando Júnior, Segurança Urbana em exercício – Júnior Fagotti, Secretária Executiva Adjunta de Promoção da Igualdade Racial (SMDHC) – Elisa Lucas e Diretor-Presidente da SPTuris – Gustavo Pires;2022/11/17 19:15:00 GMT-3;2022/11/17 19:15:00 GMT-3;2022-11-16T20:50:00-03:00;Local: Expo Center Norte (Rua José Bernardo Pinto, 333 – Vila Guilherme)
Despacho com Chefe de Gabinete – Vitor Sampaio;2022/11/17 18:00:00 GMT-3;2022/11/17 18:00:00 GMT-3;2022-11-16T20:48:43-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Urbanismo e Licenciamento – Marcos Gadelho;2022/11/17 16:30:00 GMT-3;2022/11/17 16:30:00 GMT-3;2022-11-16T20:46:51-03:00;Local: Gabinete do Prefeito
Despacho com Secretários de Governo – Rubens Rizek, Casa Civil – Fabrício Cobra, Saúde – Luiz Carlos Zamarco, Educação – Fernando Padula, Comunicação – Marcus Vinicius Sinval, Fazenda – Guilherme Bueno de Camargo, Subprefeituras – Alexandre Modonezi e Chefe de Gabinete do Prefeito – Vitor Sampaio;2022/11/17 15:00:00 GMT-3;2022/11/17 15:00:00 GMT-3;2022-11-16T20:44:52-03:00;Local: Gabinete do Prefeito
Reunião com Presidente do Conselho do CDHU – Lair Krahenbuhl;2022/11/17 12:30:00 GMT-3;2022/11/17 12:30:00 GMT-3;2022-11-16T20:42:25-03:00;Local: Gabinete do Prefeito
Despacho com Secretária de Gestão – Marcela Arruda, Secretário da Casa Civil – Fabricio Cobra, Secretário das Subprefeituras - Alexandre Modonezi, Secretária Adjunta de Subprefeituras – Carol Lafemina, Secretária Adjunta de Gestão – Regina Pacheco e Coordenadora de Gestão de Pessoas (SEGES) – Márcia Moralez;2022/11/17 10:30:00 GMT-3;2022/11/17 10:30:00 GMT-3;2022-11-16T20:40:00-03:00;Local: Gabinete do Prefeito
Reunião com Presidente da Federação das Associações Muçulmanas do Brasil (FAMBRAS) – Mohamed El Zoghbi, Vice-Presidente da FAMBRAS – Ali El Zoghbi, Secretário Geral do Conselho Mundial das Comunidades Muçulmanas – Mohammed Bechari, Presidente da Educators Without Bordes International – Mohamed AlObeidli, Secretário da Casa Civil – Fabricio Cobra e Coordenador de Relações Internacionais – Rodrigo Massi  ;2022/11/17 09:00:00 GMT-3;2022/11/17 09:00:00 GMT-3;2022-11-16T20:38:33-03:00;Local: Gabinete do Prefeito
Despacho com Chefe de Gabinete – Vitor Sampaio;2022/11/16 18:00:00 GMT-3;2022/11/16 18:00:00 GMT-3;2022-11-15T15:21:06-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Desenvolvimento Econômico e Trabalho em exercício – Armando Júnior, Secretário Executivo de Projetos Estratégicos (SEPE/SGM) – Alexis Vargas, Secretária Executiva de Planejamento e Entregas Prioritárias (SEPEP/SGM) – Vivian Satiro e Assessores de SEPEP – Fabrício Reis e Márcio Torres;2022/11/16 16:30:00 GMT-3;2022/11/16 16:30:00 GMT-3;2022-11-15T15:19:12-03:00;Local: Gabinete do Prefeito
Comemoração de um ano do Conselho de Usuários do Serviço Público, com Conselheira Representante dos usuários da área da saúde CONDEUSP – Flavia Silveira dos Santos Cabral, Secretários de Governo – Rubens Rizek, Justiça – Eunice Prudente, Fazenda – Guilherme Bueno de Camargo, Inovação e Tecnologia – Juan Quirós, Casa Civil – Fabricio Cobra e Controlador Geral do Munícipio – Daniel Falcão;2022/11/16 15:00:00 GMT-3;2022/11/16 15:00:00 GMT-3;2022-11-15T15:17:51-03:00;Local: Viaduto do Chá, 15 – 14º andar – Jardim Suspenso
Reunião com Fabio Teruel;2022/11/16 10:30:00 GMT-3;2022/11/16 10:30:00 GMT-3;2022-11-15T15:13:22-03:00;Local: Gabinete do Prefeito
Despacho com Secretários de Governo – Rubens Rizek, Casa Civil – Fabricio Cobra, Fazenda – Guilherme Bueno de Camargo, Comunicação – Marcus Vinicius Sinval e Chefe de Gabinete do Prefeito – Vitor Sampaio;2022/11/16 09:00:00 GMT-3;2022/11/16 09:00:00 GMT-3;2022-11-15T15:16:27-03:00;Local: Gabinete do Prefeito
Despacho com Secretários de Governo – Rubens Rizek, Casa Civil – Fabricio Cobra, Fazenda – Guilherme Bueno de Camargo, Comunicação – Marcus Vinicius Sinval e Chefe de Gabinete do Prefeito – Vitor Sampaio;2022/11/16 09:00:00 GMT-3;2022/11/16 09:00:00 GMT-3;2022-11-16T09:00:00-03:00;Local: Gabinete do Prefeito
Sem compromissos oficiais;2022/11/15 00:00:00 GMT-3;2022/11/15 00:00:00 GMT-3;2022-11-14T17:18:12-03:00;Prefeitura
Entrevista ao vivo para o “Boa Tarde São Paulo” da TV Bandeirantes;2022/11/14 14:10:00 GMT-3;2022/11/14 14:10:00 GMT-3;2022-11-11T20:35:00-03:00;Local: Gabinete do Prefeito
Fórmula 1 Heineken Grande Prêmio de São Paulo 2022, com CEO do GP São Paulo de F1 – Alan Adler, Governador Rodrigo Garcia e Primeira Dama Regina Nunes;2022/11/13 12:30:00 GMT-3;2022/11/13 12:30:00 GMT-3;2022-11-11T20:33:40-03:00;Local: Autódromo Internacional de Interlagos – Portão 7 (Av. Senador Teotônio Vilela, 261 – Interlagos)
Fórmula 1 Heineken Grande Prêmio de São Paulo 2022, com Presidente e CEO da Fórmula 1 – Stefano Dominacalli e Primeira Dama Regina Nunes;2022/11/12 13:50:00 GMT-3;2022/11/12 13:50:00 GMT-3;2022-11-11T20:30:06-03:00;Local: Autódromo Internacional de Interlagos – Portão 7 (Av. Senador Teotônio Vilela, 261 – Interlagos)
Reunião com Fundador e Presidente da Associação de Resgate à Cidadania por Amor à Humanidade (ARCAH) – Filipe Sabará, Assessora – Carol Luize, Secretario da Casa Civil - Fabricio Cobra, Secretário de Desenvolvimento Econômico e Trabalho em exercício – Armando Júnior e Coordenadora de Agricultura (SMDET) - Lia Palm;2022/11/11 18:00:00 GMT-3;2022/11/11 18:00:00 GMT-3;2022-11-10T20:42:00-03:00;Local: Gabinete do Prefeito
Reunião com Presidente do PSDB Nacional – Bruno Araújo;2022/11/11 16:30:00 GMT-3;2022/11/11 16:30:00 GMT-3;2022-11-10T20:41:02-03:00;Local: Gabinete do Prefeito
Cerimônia de Premiação do Concurso Internacional “Reiventing Cities São Paulo 2022”, com Gerente Sênior de Pesquisa no C40 – Mariana Nicoletti, Secretário de Urbanismo e Licenciamento – Marcos Gadelho, Subprefeito da Sé – Marcelo Vieira Salles e Diretor-Presidente da SP Urbanismo – Cesar Azevedo;2022/11/11 15:00:00 GMT-3;2022/11/11 15:00:00 GMT-3;2022-11-10T20:38:36-03:00;Local: Auditório do 7º andar 
Despacho com Secretária de Gestão – Marcela Arruda, Secretário de Educação – Fernando Padula, Secretário da Casa Civil – Fabricio Cobra, Secretária Adjunta de Gestão – Regina Pacheco, Secretária Executiva de Educação – Malde Vilas Bôas e Coordenadora de Gestão de Pessoas (COGEP/SEGES) – Márcia Regina Moralez;2022/11/11 11:00:00 GMT-3;2022/11/11 11:00:00 GMT-3;2022-11-10T20:36:34-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Assistência e Desenvolvimento Social – Carlos Bezerra Jr;2022/11/11 09:30:00 GMT-3;2022/11/11 09:30:00 GMT-3;2022-11-10T20:35:09-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Comunicação – Marcus Vinicius Sinval;2022/11/10 18:00:00 GMT-3;2022/11/10 18:00:00 GMT-3;2022-11-09T20:45:44-03:00;Despacho com Secretário de Comunicação – Marcus Vinicius Sinval
Local: Gabinete do Prefeito

Reunião com Deputado Federal Capitão Derrite e Chefe de Gabinete – Cel. Paulo Maculevicius;2022/11/10 17:00:00 GMT-3;2022/11/10 17:00:00 GMT-3;2022-11-09T20:43:40-03:00;Local: Gabinete do Prefeito
Despacho com Secretários da Casa Civil – Fabrício Cobra, Saúde – Luiz Carlos Zamarco, Educação – Fernando Padula, Comunicação – Marcus Vinicius Sinval, Fazenda – Guilherme Bueno de Camargo, Subprefeituras – Alexandre Modonezi, Secretario Adjunto de Governo - Flávio Barbarulo Borgheresi e Chefe de Gabinete do Prefeito – Vitor Sampaio;2022/11/10 15:30:00 GMT-3;2022/11/10 15:30:00 GMT-3;2022-11-09T20:41:00-03:00;Local: Gabinete do Prefeito
Reunião com Vereadora Juliana Cardoso, Chefe de Gabinete – Vanilda Anunciação, Assessores – Fábio Santos, Fábio Rodrigues, Secretários da Casa Civil – Fabricio Cobra, Subprefeituras – Alexandre Modonezi e Chefe de Gabinete do Verde e Meio Ambiente – Rodrigo Ravena;2022/11/10 14:30:00 GMT-3;2022/11/10 14:30:00 GMT-3;2022-11-09T20:39:24-03:00;Local: Gabinete do Prefeito
Reunião com Presidente e CEO do Grupo Fórmula 1 – Stefano Domenicali, CEO GP São Paulo de F1 – Alan Adler, Diretora de Promoção e Hospitalidades da Fórmula 1 – Chloe Targett Adams, Diretor GP São Paulo de F1 – Francisco Mattos, Secretário da Fazenda – Guilherme Bueno de Camargo, Secretario de Infraestrutura e Obras - Marcos Monteiro, Secretario Adjunto de Governo - Flávio Barbarulo Borgheresi e Diretor-Presidente da SPTuris – Gustavo Pires;2022/11/10 12:30:00 GMT-3;2022/11/10 12:30:00 GMT-3;2022-11-09T20:36:00-03:00;Local: Gabinete do Prefeito
Vistoria às Obras de Pavimentação na Comunidade Maravilha, com Presidente da Empresa FBF – Fabiano Filardi, Secretário de Infraestrutura Urbana e Obras – Marcos Monteiro e Subprefeito da Cidade Tiradentes – Lucas Sorrilo;2022/11/10 10:40:00 GMT-3;2022/11/10 10:40:00 GMT-3;2022-11-09T20:33:23-03:00;Local: Av. Naylor de Oliveira, 200 – Cidade Tiradentes
Inauguração do Descomplica SP Unidade Cidade Tiradentes, com Diretor Andrômeda Engenharia – Constantino Gonçalves, Secretários de Inovação e Tecnologia – Juan Quirós, Segurança Urbana – Elza Paulina, Subprefeituras – Alexandre Modonezi, Assistência e Desenvolvimento Social – Marcelina Conceição dos Santos, Infraestrutura Urbana e Obras – Marcos Monteiro, Desenvolvimento Econômico e Trabalho em exercício –  Armando de Almeida Pinto Junior, Secretário Adjunto de SMIT – Humberto de Alencar, Secretário Adjunto de SIURB – Marcos Alves Garcia, Secretária Executiva de Planejamento e Entregas Prioritárias (SEPEP/SGM) – Vivian Satiro, Chefe de Gabinete de SMIT – George Augusto Rodrigues, Chefe de Gabinete SIURB – Eduardo Olivatto, Subprefeito da Cidade Tiradentes – Lucas Sorrilo, Diretor-Presidente da PRODRAM – Johann Nogueira Dantas, Chefe de Gabinete da SPObras – Ricardo de Menezes Dias, Diretor de Administração e Infraestrutura da SPTrans – Anderson Clayton Nogueira Maia, Diretora de Obras da SPObras – Adriana Siano Boggio e Fiscal Obras da SPObras – José Rodriguez Vazquez;2022/11/10 09:00:00 GMT-3;2022/11/10 09:00:00 GMT-3;2022-11-09T20:29:00-03:00;Local: Negreiros Supermercados (Estrada do Iguatemi, 7001 – Cidade Tiradentes)
Despacho com Chefe de Gabinete – Vitor Sampaio;2022/11/09 18:30:00 GMT-3;2022/11/09 18:30:00 GMT-3;2022-11-08T22:04:13-03:00;Local: Gabinete do Prefeito
Reunião Assessor do Senador José Serra – Luis Sobral;2022/11/09 17:30:00 GMT-3;2022/11/09 17:30:00 GMT-3;2022-11-08T22:02:09-03:00;Local: Gabinete do Prefeito
Inauguração da Escultura “Nosso Senna”, com Presidente do Instituto Ayrton Senna – Viviane Senna, Head Brand Experience da Senna Brands – Paola Santilli, Artista e Membro do Conselho da Senna Brands – Lallalli Senna e CEO do GP São Paulo de F1 – Alan Adler, Primeira Dama Regina Nunes, Secretários de Governo – Rubens Rizek, Infraestrutura Urbana e Obras – Marcos Monteiro, Gestão – Marcela Arruda e Diretor-Presidente da SPTuris – Gustavo Pires;2022/11/09 15:00:00 GMT-3;2022/11/09 15:00:00 GMT-3;2022-11-09T10:20:00-03:00;Local: Autódromo de Interlagos – Portão 7 – Arquibancada A (Av. Senador Teotônio Vilela, 261)
Despacho com Secretário da Casa Civil – Fabricio Cobra;2022/11/09 10:30:00 GMT-3;2022/11/09 10:30:00 GMT-3;2022-11-08T21:57:41-03:00;Local: Gabinete do Prefeito
Despacho com Secretária de Direitos Humanos e Cidadania – Soninha Francine;2022/11/09 09:00:00 GMT-3;2022/11/09 09:00:00 GMT-3;2022-11-08T21:56:00-03:00;Local: Gabinete do Prefeito
Despacho com Chefe de Gabinete – Vitor Sampaio;2022/11/08 18:00:00 GMT-3;2022/11/08 18:00:00 GMT-3;2022-11-07T22:04:38-03:00;Local: Gabinete do Prefeito
Lançamento do Programa Sampa+Rural e apresentação do Plano Municipal de Agroecologia e Desenvolvimento Rural Sustentável, com Conselheiro Municipal de Desenvolvimento Rural Sustentável e Solidário – Andre Biazotti, Secretário Estadual de Agricultura e Abastecimento (SAA) – Francisco Matturro, Secretário Estadual de Infraestrutura e Meio Ambiente (SIMA) – José Amaral Wagner Neto, Secretários Municipais de Governo – Rubens Rizek, Desenvolvimento Econômico e Trabalho – Aline Cardoso e Relações Internacionais em exercício – Ana Cristina Wanzeler;2022/11/08 16:30:00 GMT-3;2022/11/08 16:30:00 GMT-3;2022-11-07T22:01:00-03:00;Local: Auditório do 7º andar
Despacho com Secretários de Governo – Rubens Rizek, Fazenda – Guilherme Bueno de Camargo, Secretária Executiva de Desestatização e Parcerias (SEDP/SGM) – Tarcila Peres, Procuradora Geral do Munícipio – Marina Magro, Diretor-Presidente da SP Parcerias - Rogerio Ceron e Diretora de Projetos da SP Parcerias - Maira Madri ;2022/11/08 15:00:00 GMT-3;2022/11/08 15:00:00 GMT-3;2022-11-07T22:00:00-03:00;Local: Gabinete do Prefeito
 

Reunião com Diretor da Rede Globo – Fernando Vieira de Melo e Secretário de Comunicação – Marcus Vinicius Sinval ;2022/11/08 13:00:00 GMT-3;2022/11/08 13:00:00 GMT-3;2022-11-07T21:58:00-03:00;Local: Gabinete do Prefeito
Reunião com Presidente da Enel Distribuição São Paulo – Max Xavier, Presidente Mundial da Enel X – Francesco Venturini, Presidente Américas Enel – Maurizio Bezzecher, Presidente da Enel Brasil (Country Manager) – Nicola Cotugno, CEO Eletra – Milena Braga, CEO da Caio – Paulo Ruas, Diretor da Enel X Brasil (e-City) – Carlos Eduardo Cardoso, Presidente da Enel X Brasil – Francisco Scroffa, Diretor Institucional da Enel Distribuição São Paulo – Marcos Mesquita, Presidente da CMSP – Milton Leite, Secretário da Fazenda – Guilherme Bueno de Camargo, Secretário Executivo de Transporte e Mobilidade Urbana - Gilmar Pereira Miranda, Diretor-Presidente da SPtrans – Levi dos Santos Oliveira e Diretor de Gestão da Receita e Remuneração da SPTRANS - Gilmar Willian Gadali;2022/11/08 12:00:00 GMT-3;2022/11/08 12:00:00 GMT-3;2022-11-07T21:54:00-03:00;Local: Gabinete do Prefeito
Inauguração do Instituto Perdizes, do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, com Governador Rodrigo Garcia, Superintendente do Hospital das do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo – Antônio José Rodrigues Pereira “Tom Zé”, Presidente do Conselho Deliberativo do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo – Eloísa Bonfá, Secretário Estadual da Saúde – Eduardo Ribeiro, Secretário Municipal da Saúde – Luiz Carlos Zamarco e Secretário Executivo de Projetos Estratégicos (SEPE/SGM) – Alexis Vargas ;2022/11/08 11:00:00 GMT-3;2022/11/08 11:00:00 GMT-3;2022-11-07T21:56:41-03:00;Local: Instituto Perdizes (Rua Cotoxó, 1142 – Perdizes)
Abertura do São Tech Week no Innovation Xperience Conference 2022, com Presidente do Movimento Inovação Digital – Vitor Magnani, Presidente do Conselho de Economia Digital da Fecomércio – Andriei Gutierrez, Secretária de Desenvolvimento Econômico e Trabalho – Aline Cardoso, Secretário de Inovação e Tecnologia – Juan Quirós e Diretor-Presidente da SP Negócios – Aloysio Nunes;2022/11/08 08:30:00 GMT-3;2022/11/08 08:30:00 GMT-3;2022-11-07T21:52:44-03:00;Local: Centro de Eventos FecomercioSP (Rua Doutor Plínio Barreto, 285 – Bela Vista)
 

Despacho com Chefe de Gabinete – Vitor Sampaio ;2022/11/07 18:00:00 GMT-3;2022/11/07 18:00:00 GMT-3;2022-11-05T22:28:43-03:00;Local: Gabinete do Prefeito
